rt-td,rt-td 2,team-name,rt-td 3,rt-td 4,rt-td 5,,rt-td 6,rt-td 7,,rt-td 8,, ,rt-td 8,rt-td 9,rt-td 10,rt-td 11
68,Lukas Cormier,Vegas Golden Knights,3,6,NJD-VGK,,D,CAN,,"5' 9""","5' 9"""," 5' 9""",,QMJHL,Charlottetown,180
69,Alexander Nikishin,Carolina Hurricanes,3,7,BUF-CAR,,D,RUS,,"6' 3""","6' 3"""," 6' 3""",,RUSSIA,Spartak,196
70,Eemil Viro,Detroit Red Wings,3,8,MIN-NSH-MIN-DET,,D,FIN,,"6' 0""","6' 0"""," 6' 0""",,FINLAND,TPS,168
71,Leevi Merilainen,Ottawa Senators,3,9,WPG-OTT,,G,FIN,,"6' 2""","6' 2"""," 6' 2""",,FINLAND-JR.,Karpat Jr.,158
72,Jeremie Poirier,Calgary Flames,3,10,NYR-CGY,,D,CAN,,"6' 0""","6' 0"""," 6' 0""",,QMJHL,Saint John,196
73,Luke Prokop,Nashville Predators,3,11,D,D,CAN,"6' 4""","6' 4""",217,,"6' 4"" ",217,WHL,Calgary,
74,Ty Smilanic,Florida Panthers,3,12,C,C,USA,"6' 1""","6' 1""",175,,"6' 1"" ",175,NTDP,USA U-18,
75,Jean-Luc Foudy,Colorado Avalanche,3,13,TOR-COL,,C,CAN,,"5' 11""","5' 11"""," 5' 11""",,OHL,Windsor,177
76,Danil Gushchin,San Jose Sharks,3,14,EDM-SJS,,LW,RUS,,"5' 8""","5' 8"""," 5' 8""",,USHL,Muskegon,165
77,Calle Clang,Pittsburgh Penguins,3,15,G,G,SWE,"6' 2""","6' 2""",194,,"6' 2"" ",194,SWEDEN-JR.,Rogle Jr.,
78,Samuel Knazko,Columbus Blue Jackets,3,16,MTL-CBJ,,D,SVK,,"6' 0""","6' 0"""," 6' 0""",,FINLAND-JR.,TPS Jr.,191
79,Landon Slaggert,Chicago Blackhawks,3,17,LW,LW,USA,"5' 11""","5' 11""",180,,"5' 11"" ",180,NTDP,USA U-18,
80,Jake Boltmann,Calgary Flames,3,18,ARI-COL-WSH-CGY,,D,USA,,"6' 0""","6' 0"""," 6' 0""",,HIGH-MN,Edina,188
81,Wyatt Kaiser,Chicago Blackhawks,3,19,CGY-CHI,,D,USA,,"5' 11""","5' 11"""," 5' 11""",,HIGH-MN,Andover,173
82,Joni Jurmo,Vancouver Canucks,3,20,D,D,FIN,"6' 4""","6' 4""",192,,"6' 4"" ",192,FINLAND-JR.,Jokerit Jr.,
83,Alex Laferriere,Los Angeles Kings,3,21,CBJ-OTT-TOR-LAK,,RW,USA,,"5' 11""","5' 11"""," 5' 11""",,USHL,Des Moines,173
84,Nico Daws,New Jersey Devils,3,22,CAR-NJD,,G,DEU,,"6' 3""","6' 3"""," 6' 3""",,OHL,Guelph,199
85,Maxim Groshev,Tampa Bay Lightning,3,23,PHI-SJS-TBL,,RW,RUS,,"6' 2""","6' 2"""," 6' 2""",,RUSSIA,Nizhnekamsk,194
86,Dylan Peterson,St. Louis Blues,3,24,WSH-MTL-STL,,C,USA,,"6' 4""","6' 4"""," 6' 4""",,NTDP,USA U-18,192
87,Justin Sourdif,Florida Panthers,3,25,COL-FLA,,RW,CAN,,"5' 10""","5' 10"""," 5' 10""",,WHL,Vancouver,173
88,Leo Loof,St. Louis Blues,3,26,D,D,SWE,"6' 1""","6' 1""",176,,"6' 1"" ",176,SWEDEN-JR.,Farjestad Jr.,
89,Trevor Kuntar,Boston Bruins,3,27,C,C,USA,"5' 11""","5' 11""",197,,"5' 11"" ",197,USHL,Youngstown,
90,Alexander Ljungkrantz,New York Islanders,3,28,RW,RW,SWE,"6' 0""","6' 0""",179,,"6' 0"" ",179,SWEDEN-JR.,Brynas Jr.,
91,Jackson Hallum,Vegas Golden Knights,3,29,LW,LW,USA,"5' 11""","5' 11""",163,,"5' 11"" ",163,HIGH-MN,St. Thomas,
92,Oliver Tarnstrom,New York Rangers,3,30,DAL-NYR,,C,SWE,,"6' 0""","6' 0"""," 6' 0""",,SWEDEN-JR.,AIK Jr.,158
93,Jack Thompson,Tampa Bay Lightning,3,31,D,D,CAN,"6' 0""","6' 0""",178,,"6' 0"" ",178,OHL,Sudbury,
94,Zayde Wisdom,Philadelphia Flyers,4,1,DET-TBL-PHI,,RW,CAN,,"5' 10""","5' 10"""," 5' 10""",,OHL,Kingston,195
95,Mike Benning,Florida Panthers,4,2,OTT-FLA,,D,CAN,,"5' 8""","5' 8"""," 5' 8""",,AJHL,Sherwood Park,177
96,Daniil Chechelev,Calgary Flames,4,3,SJS-MTL-BUF-CGY,,G,RUS,,"6' 3""","6' 3"""," 6' 3""",,RUSSIA-JR.,Chekhov 2,187
97,Sam Stange,Detroit Red Wings,4,4,LAK-DET,,RW,USA,,"6' 0""","6' 0"""," 6' 0""",,USHL,Sioux Falls,200
98,Brandon Coe,San Jose Sharks,4,5,ANA-MTL-SJS,,RW,CAN,,"6' 4""","6' 4"""," 6' 4""",,OHL,North Bay,188
99,Jaromir Pytlik,New Jersey Devils,4,6,C,C,CZE,"6' 2""","6' 2""",200,,"6' 2"" ",200,OHL,Sault Ste. Marie,
100,Carter Savoie,Edmonton Oilers,4,7,BUF-SJS-EDM,,LW,CAN,,"5' 9""","5' 9"""," 5' 9""",,AJHL,Sherwood Park,192
101,Adam Wilsby,Nashville Predators,4,8,MIN-NSH,,D,SWE,,"6' 0""","6' 0"""," 6' 0""",,SWEDEN-2,Sodertalje,183
102,Jack Smith,Montréal Canadiens,4,9,WPG-MTL,,C,USA,,"5' 11""","5' 11"""," 5' 11""",,HIGH-MN,St. Cloud Cathedral,182
103,Dylan Garand,New York Rangers,4,10,G,G,CAN,"6' 0""","6' 0""",173,,"6' 0"" ",173,WHL,Kamloops,
104,Thimo Nickl,Anaheim Ducks,4,11,NSH-PHI-ANA,,D,AUT,,"6' 2""","6' 2"""," 6' 2""",,QMJHL,Drummondville,176
105,Zachary Uens,Florida Panthers,4,12,D,D,CAN,"6' 1""","6' 1""",180,,"6' 1"" ",180,H-EAST,Merrimack,
106,Artur Akhtyamov,Toronto Maple Leafs,4,13,G,G,RUS,"6' 1""","6' 1""",167,,"6' 1"" ",167,RUSSIA-JR.,Irbis Kazan,
107,Jan Bednar,Detroit Red Wings,4,14,EDM-DET,,G,CZE,,"6' 4""","6' 4"""," 6' 4""",,CZREP-2,Sokolov,196
108,Lukas Svejkovsky,Pittsburgh Penguins,4,15,C,C,USA,"5' 10""","5' 10""",165,,"5' 10"" ",165,WHL,Medicine Hat,
109,Blake Biondi,Montréal Canadiens,4,16,C,C,USA,"6' 0""","6' 0""",191,,"6' 0"" ",191,HIGH-MN,Hermantown,
110,Michael Krutil,Chicago Blackhawks,4,17,D,D,CZE,"6' 3""","6' 3""",202,,"6' 3"" ",202,CZREP-JR.,Sparta Jr.,
111,Mitchell Miller,Arizona Coyotes,4,18,D,D,USA,"5' 10""","5' 10""",180,,"5' 10"" ",180,USHL,Tri-City,
112,Juho Markkanen,Los Angeles Kings,4,19,CGY-LAK,,G,CAN,,"6' 2""","6' 2"""," 6' 2""",,FINLAND-JR.,Saipa Jr.,146
113,Jackson Kunz,Vancouver Canucks,4,20,LW,LW,USA,"6' 3""","6' 3""",210,,"6' 3"" ",210,HIGH-MN,Shattuck-St. Mary's,
114,Mikael Pyyhtia,Columbus Blue Jackets,4,21,LW,LW,FIN,"5' 11""","5' 11""",154,,"5' 11"" ",154,FINLAND-JR.,TPS Jr.,
115,Zion Nybeck,Carolina Hurricanes,4,22,LW,LW,SWE,"5' 6""","5' 6""",182,,"5' 6"" ",182,SWEDEN-JR.,HV 71 Jr.,
116,Eamon Powell,Tampa Bay Lightning,4,23,PHI-TBL,,D,USA,,"5' 11""","5' 11"""," 5' 11""",,NTDP,USA U-18,165
117,Bogdan Trineyev,Washington Capitals,4,24,RW,RW,RUS,"6' 3""","6' 3""",198,,"6' 3"" ",198,RUSSIA-JR.,Dynamo Moscow 2,
118,Colby Ambrosio,Colorado Avalanche,4,25,C,C,CAN,"5' 8""","5' 8""",170,,"5' 8"" ",170,USHL,Tri-City,
119,Tanner Dickinson,St. Louis Blues,4,26,C,C,USA,"5' 11""","5' 11""",150,,"5' 11"" ",150,OHL,Sault Ste. Marie,
120,Ethan Edwards,New Jersey Devils,4,27,BOS-NJD,,D,CAN,,"5' 9""","5' 9"""," 5' 9""",,AJHL,Spruce Grove,166
121,Alex Jefferies,New York Islanders,4,28,LW,LW,USA,"5' 11""","5' 11""",195,,"5' 11"" ",195,HIGH-CT,The Gunnery,
122,William Villeneuve,Toronto Maple Leafs,4,29,VGK-TOR,,D,CAN,,"6' 1""","6' 1"""," 6' 1""",,QMJHL,Saint John,175
123,Antonio Stranges,Dallas Stars,4,30,LW,LW,USA,"5' 10""","5' 10""",168,,"5' 10"" ",168,OHL,London,
124,Sean Farrell,Montréal Canadiens,4,31,TBL-MTL,,C,USA,,"5' 8""","5' 8"""," 5' 8""",,USHL,Chicago,175
125,Jesper Vikman,Vegas Golden Knights,5,1,DET-VGK,,G,SWE,,"6' 3""","6' 3"""," 6' 3""",,SWEDEN-JR.,AIK Jr.,179
126,Tyler Tullio,Edmonton Oilers,5,2,OTT-SJS-EDM,,RW,USA,,"5' 10""","5' 10"""," 5' 10""",,OHL,Oshawa,165
127,Evan Vierling,New York Rangers,5,3,SJS-NYR,,C,CAN,,"6' 0""","6' 0"""," 6' 0""",,OHL,Barrie,167
128,Martin Chromiak,Los Angeles Kings,5,4,RW,RW,SVK,"5' 11""","5' 11""",187,,"5' 11"" ",187,OHL,Kingston,
129,Artyom Galimov,Anaheim Ducks,5,5,LW,LW,RUS,"6' 0""","6' 0""",176,,"6' 0"" ",176,RUSSIA,Kazan,
130,Artem Shlaine,New Jersey Devils,5,6,C,C,RUS,"6' 1""","6' 1""",165,,"6' 1"" ",165,HIGH-MN,Shattuck-St. Mary's,
131,Matteo Costantini,Buffalo Sabres,5,7,C,C,CAN,"5' 11""","5' 11""",173,,"5' 11"" ",173,OJHL,Buffalo Jr. Sabres,
132,Alex Cotton,Detroit Red Wings,5,8,MIN-DET,,D,CAN,,"6' 1""","6' 1"""," 6' 1""",,WHL,Lethbridge,175
133,Anton Johannesson,Winnipeg Jets,5,9,D,D,SWE,"5' 9""","5' 9""",144,,"5' 9"" ",144,SWEDEN-JR.,HV 71 Jr.,
134,Brett Berard,New York Rangers,5,10,LW,LW,USA,"5' 9""","5' 9""",155,,"5' 9"" ",155,NTDP,USA U-18,
135,Elliot Desnoyers,Philadelphia Flyers,5,11,NSH-PHI,,LW,CAN,,"5' 10""","5' 10"""," 5' 10""",,QMJHL,Moncton,183
136,Jakub Dobes,Montréal Canadiens,5,12,FLA-MTL,,G,CZE,,"6' 3""","6' 3"""," 6' 3""",,USHL,Omaha,200
137,Dmitry Ovchinnikov,Toronto Maple Leafs,5,13,TOR-FLA-TOR,,C,RUS,,"5' 11""","5' 11"""," 5' 11""",,RUSSIA-JR.,Novosibirsk 2,161
138,Maksim Berezkin,Edmonton Oilers,5,14,LW,LW,RUS,"6' 2""","6' 2""",201,,"6' 2"" ",201,RUSSIA-JR.,Yaroslavl 2,
139,Ryder Rolston,Colorado Avalanche,5,15,PIT-COL,,RW,USA,,"6' 0""","6' 0"""," 6' 0""",,USHL,Waterloo,175
140,Ben Meehan,Los Angeles Kings,5,16,MTL-CAR-LAK,,D,USA,,"6' 0""","6' 0"""," 6' 0""",,USHL,Cedar Rapids,178
141,Isaak Phillips,Chicago Blackhawks,5,17,D,D,CAN,"6' 2""","6' 2""",193,,"6' 2"" ",193,OHL,Sudbury,
142,Carson Bantle,Arizona Coyotes,5,18,LW,LW,USA,"6' 4""","6' 4""",194,,"6' 4"" ",194,USHL,Madison,
143,Ryan Francis,Calgary Flames,5,19,RW,RW,CAN,"5' 9""","5' 9""",170,,"5' 9"" ",170,QMJHL,Cape Breton,
144,Jacob Truscott,Vancouver Canucks,5,20,D,D,USA,"6' 0""","6' 0""",170,,"6' 0"" ",170,NTDP,USA U-18,
145,Ole Julian Bjorgvik-Holm,Columbus Blue Jackets,5,21,D,D,NOR,"6' 2""","6' 2""",190,,"6' 2"" ",190,OHL,Mississauga,
146,Pavel Novak,Minnesota Wild,5,22,CAR-STL-MIN,,RW,CZE,,"5' 9""","5' 9"""," 5' 9""",,WHL,Kelowna,170
147,Jaydon Dureau,Tampa Bay Lightning,5,23,PHI-TBL,,LW,CAN,,"5' 11""","5' 11"""," 5' 11""",,WHL,Portland,173
148,Bear Hughes,Washington Capitals,5,24,C,C,USA,"6' 0""","6' 0""",171,,"6' 0"" ",171,WHL,Spokane,
149,Raivis Ansons,Pittsburgh Penguins,5,25,COL-PIT,,RW,LVA,,"6' 0""","6' 0"""," 6' 0""",,QMJHL,Baie Comeau,191
150,Matthew Kessel,St. Louis Blues,5,26,D,D,USA,"6' 2""","6' 2""",205,,"6' 2"" ",205,H-EAST,U. Mass.,
151,Mason Langenbrunner,Boston Bruins,5,27,D,D,USA,"6' 2""","6' 2""",166,,"6' 2"" ",166,HIGH-MN,Eden Prarie,
152,William Dufour,New York Islanders,5,28,RW,RW,CAN,"6' 2""","6' 2""",195,,"6' 2"" ",195,QMJHL,Drummondville,
153,Kasper Puutio,Florida Panthers,5,29,VGK-TOR-FLA,,D,FIN,,"5' 11""","5' 11"""," 5' 11""",,WHL,Everett,180
154,Daniel Ljungman,Dallas Stars,5,30,C,C,SWE,"6' 0""","6' 0""",166,,"6' 0"" ",166,SWEDEN-JR.,Linkoping Jr.,
155,Eric Engstrand,Ottawa Senators,5,31,TBL-OTT,,LW,SWE,,"6' 4""","6' 4"""," 6' 4""",,SWEDEN-JR.,Malmo Jr.,209
156,Kyle Aucoin,Detroit Red Wings,6,1,D,D,CAN,"5' 10""","5' 10""",164,,"5' 10"" ",164,USHL,Tri-City,
157,Nick Capone,Tampa Bay Lightning,6,2,OTT-TBL,,RW,USA,,"6' 1""","6' 1"""," 6' 1""",,USHL,Tri-City,202
158,Philippe Daoust,Ottawa Senators,6,3,SJS-OTT,,C,CAN,,"5' 11""","5' 11"""," 5' 11""",,QMJHL,Moncton,151
159,Lucas Mercuri,Carolina Hurricanes,6,4,LAK-CAR,,C,CAN,,"6' 3""","6' 3"""," 6' 3""",,HIGH-CT,Salisbury,191
160,Albin Sundsvik,Anaheim Ducks,6,5,C,C,SWE,"6' 2""","6' 2""",187,,"6' 2"" ",187,SWEDEN,Skelleftea,
161,Benjamin Baumgartner,New Jersey Devils,6,6,C,C,AUT,"5' 9""","5' 9""",165,,"5' 9"" ",165,SWISS,Davos,
162,Yauheni Aksiantsiuk,Dallas Stars,6,7,BUF-CAR-FLA-DAL,,LW,BLR,,"5' 7""","5' 7"""," 5' 7""",,OHL,Flint,163
163,Will Cranley,St. Louis Blues,6,8,MIN-STL,,G,CAN,,"6' 3""","6' 3"""," 6' 3""",,OHL,Ottawa,183
164,Tyrel Bauer,Winnipeg Jets,6,9,D,D,CAN,"6' 3""","6' 3""",206,,"6' 3"" ",206,WHL,Seattle,
165,Matt Rempe,New York Rangers,6,10,C,C,CAN,"6' 7""","6' 7""",207,,"6' 7"" ",207,WHL,Seattle,
166,Luke Reid,Nashville Predators,6,11,D,D,CAN,"5' 11""","5' 11""",190,,"5' 11"" ",190,USHL,Chicago,
167,Nils Aman,Colorado Avalanche,6,12,FLA-COL,,C,SWE,,"6' 2""","6' 2"""," 6' 2""",,SWEDEN-JR.,Leksand Jr.,179
168,Veeti Miettinen,Toronto Maple Leafs,6,13,RW,RW,FIN,"5' 9""","5' 9""",161,,"5' 9"" ",161,FINLAND-JR.,K-Espoo Jr.,
169,Filip Engaras,Edmonton Oilers,6,14,C,C,SWE,"6' 0""","6' 0""",187,,"6' 0"" ",187,H-EAST,New Hampshire,
170,Chase Yoder,Pittsburgh Penguins,6,15,C,C,USA,"5' 10""","5' 10""",176,,"5' 10"" ",176,NTDP,USA U-18,
171,Alexander Gordin,Montréal Canadiens,6,16,RW,RW,RUS,"6' 1""","6' 1""",194,,"6' 1"" ",194,RUSSIA-JR.,SKA St. Petersburg 2,
172,Chad Yetman,Chicago Blackhawks,6,17,C,C,CAN,"5' 11""","5' 11""",178,,"5' 11"" ",178,OHL,Erie,
173,Filip Barklund,Arizona Coyotes,6,18,C,C,SWE,"5' 11""","5' 11""",159,,"5' 11"" ",159,SWEDEN-JR.,Orebro Jr.,
174,Rory Kerins,Calgary Flames,6,19,C,C,CAN,"5' 10""","5' 10""",175,,"5' 10"" ",175,OHL,Sault Ste. Marie,
175,Dmitry Zlodeyev,Vancouver Canucks,6,20,C,C,RUS,"5' 11""","5' 11""",185,,"5' 11"" ",185,RUSSIA-JR.,Dynamo Moscow 2,
176,Samuel Johannesson,Columbus Blue Jackets,6,21,D,D,SWE,"5' 11""","5' 11""",176,,"5' 11"" ",176,SWEDEN,Rogle,
177,Axel Rindell,Toronto Maple Leafs,6,22,CAR-TOR,,D,FIN,,"5' 11""","5' 11"""," 5' 11""",,FINLAND,Jukurit,176
178,Connor McClennon,Philadelphia Flyers,6,23,RW,RW,CAN,"5' 7""","5' 7""",163,,"5' 7"" ",163,WHL,Winnipeg,
179,Garin Bjorklund,Washington Capitals,6,24,G,G,CAN,"6' 1""","6' 1""",173,,"6' 1"" ",173,WHL,Medicine Hat,
180,Joe Miller,Toronto Maple Leafs,6,25,COL-TOR,,C,USA,,"5' 8""","5' 8"""," 5' 8""",,HIGH-MN,Blake,147
